No.,Time,Source,Destination,Protocol,Length
251,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,312
252,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,254
253,2023-06-02 16:05:03.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,86
254,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,118
255,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,117
256,2023-06-02 16:05:03.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,86
257,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,125
258,2023-06-02 16:05:03.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,125
259,2023-06-02 16:05:03.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,86
260,2023-06-02 16:05:04.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,179
261,2023-06-02 16:05:04.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,86
262,2023-06-02 16:05:04.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,121
263,2023-06-02 16:05:04.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,313
264,2023-06-02 16:05:04.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,244
265,2023-06-02 16:05:04.%f,da:cb:6d:5c:37:19,50:c2:e8:01:76:35,34525,149
266,2023-06-02 16:05:04.%f,50:c2:e8:01:76:35,da:cb:6d:5c:37:19,34525,86
